Epoch70---->precision:0.9854986565512881, recall:0.9820889080707812, f1:0.9837684631347656
Epoch71---->precision:0.9861127551479396, recall:0.9833876093694824, f1:0.9847339391708374
Epoch72---->precision:0.9825597739708385, recall:0.9822242711970809, f1:0.9823918342590332
Epoch73---->precision:0.9812857136149573, recall:0.982616628084906, f1:0.9819471836090088
Epoch74---->precision:0.982552134758909, recall:0.9832208576921568, f1:0.982885479927063
Epoch75---->precision:0.9831877914171046, recall:0.9835229724957821, f1:0.9833551049232483
Epoch76---->precision:0.9825597739708385, recall:0.9822242711970809, f1:0.9823918342590332
Epoch77---->precision:0.9828864987111599, recall:0.9818770353513555, f1:0.9823795557022095
Epoch78---->precision:0.9832422668453275, recall:0.9805332130105544, f1:0.9818716049194336
Epoch79---->precision:0.9855402335991181, recall:0.9810923215757053, f1:0.9832732677459717
Epoch80---->precision:0.9859466209255892, recall:0.9797484992349041, f1:0.9827648401260376
Epoch81---->precision:0.9859466209255892, recall:0.9797484992349041, f1:0.9827648401260376
Epoch82---->precision:0.9866744632476506, recall:0.9790540275434536, f1:0.9827401638031006
Epoch83---->precision:0.9863753783509086, recall:0.9784046768941028, f1:0.9822543263435364
Epoch84---->precision:0.9860079947487661, recall:0.9787519127398281, f1:0.9822670221328735
Epoch85---->precision:0.9850421086508343, recall:0.9778004472868521, f1:0.9813084602355957
Epoch86---->precision:0.9853432835820896, recall:0.9784497979362028, f1:0.9817942976951599
Epoch87---->precision:0.9859466209255892, recall:0.9797484992349041, f1:0.9827648401260376
Epoch88---->precision:0.9856447874359475, recall:0.9790991485855534, f1:0.9822797179222107
Epoch89---->precision:0.9859466209255892, recall:0.9797484992349041, f1:0.9827648401260376
Epoch90---->precision:0.9855889276739893, recall:0.9800957350806294, f1:0.9827771186828613
Epoch91---->precision:0.9858924535035889, recall:0.98074508572998, f1:0.9832614660263062
Epoch92---->precision:0.9861963092939725, recall:0.9813944363793307, f1:0.9837454557418823
Epoch93---->precision:0.9861963092939725, recall:0.9813944363793307, f1:0.9837454557418823
Epoch94---->precision:0.9855402335991181, recall:0.9810923215757053, f1:0.9832732677459717
Epoch95---->precision:0.985235353045419, recall:0.9804429709263547, f1:0.9827892780303955
Epoch96---->precision:0.985235353045419, recall:0.9804429709263547, f1:0.9827892780303955
Epoch97---->precision:0.985235353045419, recall:0.9804429709263547, f1:0.9827892780303955
Epoch98---->precision:0.985235353045419, recall:0.9804429709263547, f1:0.9827892780303955
Epoch99---->precision:0.985235353045419, recall:0.9804429709263547, f1:0.9827892780303955
Epoch100---->precision:0.9855402335991181, recall:0.9810923215757053, f1:0.9832732677459717
Epoch101---->precision:0.9846265756777737, recall:0.9791442696276533, f1:0.9818202257156372
Epoch102---->precision:0.984930800650355, recall:0.9797936202770039, f1:0.9823049306869507
Epoch103---->precision:0.985235353045419, recall:0.9804429709263547, f1:0.9827892780303955
Epoch104---->precision:0.985235353045419, recall:0.9804429709263547, f1:0.9827892780303955
Epoch105---->precision:0.984930800650355, recall:0.9797936202770039, f1:0.9823049306869507
Epoch106---->precision:0.985235353045419, recall:0.9804429709263547, f1:0.9827892780303955
Epoch107---->precision:0.9845799714257656, recall:0.9801408561227293, f1:0.9823175072669983
Epoch108---->precision:0.9845799714257656, recall:0.9801408561227293, f1:0.9823175072669983
Epoch109---->precision:0.9858924535035889, recall:0.98074508572998, f1:0.9832614660263062
Epoch110---->precision:0.9855889276739893, recall:0.9800957350806294, f1:0.9827771186828613
Epoch111---->precision:0.986551279670205, recall:0.9810472005336054, f1:0.9837338924407959
Epoch112---->precision:0.986551279670205, recall:0.9810472005336054, f1:0.9837338924407959
Epoch113---->precision:0.9862487847652452, recall:0.9803978498842547, f1:0.9832495450973511
Epoch114---->precision:0.9859466209255892, recall:0.9797484992349041, f1:0.9827648401260376
Epoch115---->precision:0.9859466209255892, recall:0.9797484992349041, f1:0.9827648401260376
Epoch116---->precision:0.9856447874359475, recall:0.9790991485855534, f1:0.9822797179222107
Epoch117---->precision:0.9860079947487661, recall:0.9787519127398281, f1:0.9822670221328735
Epoch118---->precision:0.9860079947487661, recall:0.9787519127398281, f1:0.9822670221328735
Epoch119---->precision:0.9857078625888476, recall:0.9781025620904775, f1:0.9817812442779541
Epoch120---->precision:0.9857078625888476, recall:0.9781025620904775, f1:0.9817812442779541
Epoch121---->precision:0.9851085878706686, recall:0.9768038607917762, f1:0.9808086156845093
Epoch122---->precision:0.9851085878706686, recall:0.9768038607917762, f1:0.9808086156845093
Epoch123---->precision:0.9857078625888476, recall:0.9781025620904775, f1:0.9817812442779541
Epoch124---->precision:0.9850421086508343, recall:0.9778004472868521, f1:0.9813084602355957
Epoch125---->precision:0.9857078625888476, recall:0.9781025620904775, f1:0.9817812442779541
Epoch126---->precision:0.9850421086508343, recall:0.9778004472868521, f1:0.9813084602355957
Epoch127---->precision:0.9863084577114427, recall:0.9794012633891788, f1:0.9827525019645691
Epoch128---->precision:0.9857078625888476, recall:0.9781025620904775, f1:0.9817812442779541
Epoch129---->precision:0.9849828629929671, recall:0.9787970337819281, f1:0.9818073511123657
Epoch130---->precision:0.9860079947487661, recall:0.9787519127398281, f1:0.9822670221328735
Epoch131---->precision:0.9866744632476506, recall:0.9790540275434536, f1:0.9827401638031006
Epoch132---->precision:0.9863753783509086, recall:0.9784046768941028, f1:0.9822543263435364
Epoch133---->precision:0.9866744632476506, recall:0.9790540275434536, f1:0.9827401638031006
Epoch134---->precision:0.9863084577114427, recall:0.9794012633891788, f1:0.9827525019645691
Epoch135---->precision:0.9843781094527364, recall:0.9774983324832267, f1:0.9808360934257507
Epoch136---->precision:0.9830074949438871, recall:0.977890689371052, f1:0.9803919792175293
Epoch137---->precision:0.9842332189792913, recall:0.9804880919684544, f1:0.9823299646377563
Epoch138---->precision:0.9842332189792913, recall:0.9804880919684544, f1:0.9823299646377563
Epoch139---->precision:0.985235353045419, recall:0.9804429709263547, f1:0.9827892780303955
Epoch140---->precision:0.9854641488960703, recall:0.9830854945658571, f1:0.9842624068260193
Epoch141---->precision:0.9851921005556372, recall:0.9814395574214305, f1:0.9832850694656372
Epoch142---->precision:0.9872118384516162, recall:0.9813493153372308, f1:0.9842067360877991
Epoch143---->precision:0.9857078625888476, recall:0.9781025620904775, f1:0.9817812442779541
Epoch144---->precision:0.987122777312787, recall:0.9777102052026523, f1:0.982228696346283
Epoch145---->precision:0.9869738808466977, recall:0.9797033781928042, f1:0.9832255840301514
Epoch146---->precision:0.9866092521798893, recall:0.9800506140385294, f1:0.983237624168396
Epoch147---->precision:0.9859466209255892, recall:0.9797484992349041, f1:0.9827648401260376
Epoch148---->precision:0.9862487847652452, recall:0.9803978498842547, f1:0.9832495450973511
Epoch149---->precision:0.9866092521798893, recall:0.9800506140385294, f1:0.983237624168396
Epoch150---->precision:0.9853432835820896, recall:0.9784497979362028, f1:0.9817942976951599
Epoch151---->precision:0.9853432835820896, recall:0.9784497979362028, f1:0.9817942976951599
Epoch152---->precision:0.9850421086508343, recall:0.9778004472868521, f1:0.9813084602355957
Epoch153---->precision:0.9863084577114427, recall:0.9794012633891788, f1:0.9827525019645691
Epoch154---->precision:0.9860766254648576, recall:0.9777553262447523, f1:0.9817681312561035
Epoch155---->precision:0.9860766254648576, recall:0.9777553262447523, f1:0.9817681312561035
Epoch156---->precision:0.9864495979735565, recall:0.977408090399027, f1:0.9817550182342529
Epoch157---->precision:0.9860766254648576, recall:0.9777553262447523, f1:0.9817681312561035
Epoch158---->precision:0.9860766254648576, recall:0.9777553262447523, f1:0.9817681312561035
Epoch159---->precision:0.9870446630590467, recall:0.9787067916977282, f1:0.9827277660369873
Epoch160---->precision:0.9866744632476506, recall:0.9790540275434536, f1:0.9827401638031006
Epoch161---->precision:0.9860766254648576, recall:0.9777553262447523, f1:0.9817681312561035
Epoch162---->precision:0.9870446630590467, recall:0.9787067916977282, f1:0.9827277660369873
Epoch163---->precision:0.9854801129639935, recall:0.9764566249460509, f1:0.9807947278022766
Epoch164---->precision:0.9851823519715521, recall:0.9758072742967003, f1:0.9803075194358826
Epoch165---->precision:0.9854801129639935, recall:0.9764566249460509, f1:0.9807947278022766
Epoch166---->precision:0.9857782038990093, recall:0.9771059755954016, f1:0.9812816381454468
Epoch167---->precision:0.9861525646421696, recall:0.9767587397496763, f1:0.981268048286438
Epoch168---->precision:0.9848849202345318, recall:0.9751579236473497, f1:0.9798198938369751
Epoch169---->precision:0.9861525646421696, recall:0.9767587397496763, f1:0.981268048286438
Epoch170---->precision:0.9867469638862256, recall:0.9780574410483776, f1:0.9822415113449097
Epoch171---->precision:0.9861525646421696, recall:0.9767587397496763, f1:0.981268048286438
Epoch172---->precision:0.9861525646421696, recall:0.9767587397496763, f1:0.981268048286438
Epoch173---->precision:0.9858558632143537, recall:0.9761093891003256, f1:0.980780839920044
Epoch174---->precision:0.9848094439117929, recall:0.9761545101424256, f1:0.9803217649459839
Epoch175---->precision:0.9857782038990093, recall:0.9771059755954016, f1:0.9812816381454468
Epoch176---->precision:0.9857078625888476, recall:0.9781025620904775, f1:0.9817812442779541
Epoch177---->precision:0.9857782038990093, recall:0.9771059755954016, f1:0.9812816381454468
Epoch178---->precision:0.9853432835820896, recall:0.9784497979362028, f1:0.9817942976951599
Epoch179---->precision:0.9862487847652452, recall:0.9803978498842547, f1:0.9832495450973511
Epoch180---->precision:0.9856447874359475, recall:0.9790991485855534, f1:0.9822797179222107
Epoch181---->precision:0.9855889276739893, recall:0.9800957350806294, f1:0.9827771186828613
Epoch182---->precision:0.9861963092939725, recall:0.9813944363793307, f1:0.9837454557418823
Epoch183---->precision:0.9861963092939725, recall:0.9813944363793307, f1:0.9837454557418823
Epoch184---->precision:0.9868541063568228, recall:0.9816965511829561, f1:0.9842179417610168
Epoch185---->precision:0.9853432835820896, recall:0.9784497979362028, f1:0.9817942976951599
Epoch186---->precision:0.9847412619300444, recall:0.9771510966375014, f1:0.9808223843574524
Epoch187---->precision:0.9841405502764795, recall:0.9758523953388002, f1:0.9798489809036255
Epoch188---->precision:0.9848094439117929, recall:0.9761545101424256, f1:0.9803217649459839
Epoch189---->precision:0.9851085878706686, recall:0.9768038607917762, f1:0.9808086156845093
Epoch190---->precision:0.9851085878706686, recall:0.9768038607917762, f1:0.9808086156845093
Epoch191---->precision:0.985408060529763, recall:0.9774532114411268, f1:0.981295108795166
Epoch192---->precision:0.985408060529763, recall:0.9774532114411268, f1:0.981295108795166
Epoch193---->precision:0.9857078625888476, recall:0.9781025620904775, f1:0.9817812442779541
Epoch194---->precision:0.9860079947487661, recall:0.9787519127398281, f1:0.9822670221328735
Epoch195---->precision:0.9860079947487661, recall:0.9787519127398281, f1:0.9822670221328735
Epoch196---->precision:0.985408060529763, recall:0.9774532114411268, f1:0.981295108795166
Epoch197---->precision:0.9848094439117929, recall:0.9761545101424256, f1:0.9803217649459839
Epoch198---->precision:0.9857782038990093, recall:0.9771059755954016, f1:0.9812816381454468
Epoch199---->precision:0.9860766254648576, recall:0.9777553262447523, f1:0.9817681312561035
Epoch200---->precision:0.9857078625888476, recall:0.9781025620904775, f1:0.9817812442779541
Epoch201---->precision:0.9866092521798893, recall:0.9800506140385294, f1:0.983237624168396
Epoch202---->precision:0.9859466209255892, recall:0.9797484992349041, f1:0.9827648401260376
Epoch203---->precision:0.9858924535035889, recall:0.98074508572998, f1:0.9832614660263062
Epoch204---->precision:0.9858924535035889, recall:0.98074508572998, f1:0.9832614660263062
Epoch205---->precision:0.9858924535035889, recall:0.98074508572998, f1:0.9832614660263062
Epoch206---->precision:0.9869103788582112, recall:0.98069996468788, f1:0.9837223291397095
Epoch207---->precision:0.9847412619300444, recall:0.9771510966375014, f1:0.9808223843574524
Epoch208---->precision:0.9860079947487661, recall:0.9787519127398281, f1:0.9822670221328735
Epoch209---->precision:0.986551279670205, recall:0.9810472005336054, f1:0.9837338924407959
Epoch210---->precision:0.9855889276739893, recall:0.9800957350806294, f1:0.9827771186828613
Epoch211---->precision:0.9855889276739893, recall:0.9800957350806294, f1:0.9827771186828613
Epoch212---->precision:0.9862487847652452, recall:0.9803978498842547, f1:0.9832495450973511
Epoch213---->precision:0.9856447874359475, recall:0.9790991485855534, f1:0.9822797179222107
Epoch214---->precision:0.9849828629929671, recall:0.9787970337819281, f1:0.9818073511123657
Epoch215---->precision:0.9846265756777737, recall:0.9791442696276533, f1:0.9818202257156372
Epoch216---->precision:0.9859466209255892, recall:0.9797484992349041, f1:0.9827648401260376
Epoch217---->precision:0.9855889276739893, recall:0.9800957350806294, f1:0.9827771186828613
Epoch218---->precision:0.9855889276739893, recall:0.9800957350806294, f1:0.9827771186828613
Epoch219---->precision:0.9859466209255892, recall:0.9797484992349041, f1:0.9827648401260376
Epoch220---->precision:0.986551279670205, recall:0.9810472005336054, f1:0.9837338924407959
Epoch221---->precision:0.9862487847652452, recall:0.9803978498842547, f1:0.9832495450973511
Epoch222---->precision:0.9856447874359475, recall:0.9790991485855534, f1:0.9822797179222107
Epoch223---->precision:0.9853432835820896, recall:0.9784497979362028, f1:0.9817942976951599
Epoch224---->precision:0.9850421086508343, recall:0.9778004472868521, f1:0.9813084602355957
Epoch225---->precision:0.9857078625888476, recall:0.9781025620904775, f1:0.9817812442779541
Epoch226---->precision:0.9853432835820896, recall:0.9784497979362028, f1:0.9817942976951599
Epoch227---->precision:0.9866092521798893, recall:0.9800506140385294, f1:0.983237624168396
Epoch228---->precision:0.9859466209255892, recall:0.9797484992349041, f1:0.9827648401260376
Epoch229---->precision:0.9862487847652452, recall:0.9803978498842547, f1:0.9832495450973511
Epoch230---->precision:0.9858924535035889, recall:0.98074508572998, f1:0.9832614660263062
Epoch231---->precision:0.9861963092939725, recall:0.9813944363793307, f1:0.9837454557418823
Epoch232---->precision:0.9848858724297357, recall:0.98079020677208, f1:0.9828014969825745
Epoch233---->precision:0.9848858724297357, recall:0.98079020677208, f1:0.9828014969825745
Epoch234---->precision:0.9842743967968652, recall:0.9794915054733786, f1:0.9818331599235535
Epoch235---->precision:0.985235353045419, recall:0.9804429709263547, f1:0.9827892780303955
Epoch236---->precision:0.9855889276739893, recall:0.9800957350806294, f1:0.9827771186828613
Epoch237---->precision:0.9855889276739893, recall:0.9800957350806294, f1:0.9827771186828613
Epoch238---->precision:0.9858924535035889, recall:0.98074508572998, f1:0.9832614660263062
Epoch239---->precision:0.9852857310788743, recall:0.9794463844312787, f1:0.9822923541069031
Epoch240---->precision:0.9856447874359475, recall:0.9790991485855534, f1:0.9822797179222107
Epoch241---->precision:0.9863084577114427, recall:0.9794012633891788, f1:0.9827525019645691
Epoch242---->precision:0.9866092521798893, recall:0.9800506140385294, f1:0.983237624168396
Epoch243---->precision:0.9866744632476506, recall:0.9790540275434536, f1:0.9827401638031006
Epoch244---->precision:0.9866092521798893, recall:0.9800506140385294, f1:0.983237624168396
