Epoch129---->precision:0.5050589446195464, recall:0.5190979469581727, f1:0.4587910771369934
Epoch130---->precision:0.510442151359919, recall:0.5470987960047641, f1:0.380409300327301
Epoch131---->precision:0.5090309502741768, recall:0.5407763469770404, f1:0.3811464011669159
Epoch132---->precision:0.5098122688356255, recall:0.543685510784071, f1:0.4168754518032074
Epoch133---->precision:0.508435602422808, recall:0.5365841794318463, f1:0.4296235144138336
Epoch134---->precision:0.5114144735916335, recall:0.5478275609957429, f1:0.4458567500114441
Epoch135---->precision:0.5109870964557599, recall:0.5462002216954989, f1:0.4442019760608673
Epoch136---->precision:0.5108932387751897, recall:0.5453084279666514, f1:0.44723838567733765
Epoch137---->precision:0.5140796064864974, recall:0.5571785710074174, f1:0.45777198672294617
Epoch138---->precision:0.5128374354720839, recall:0.556784412919659, f1:0.4253773093223572
Epoch139---->precision:0.5120652774757735, recall:0.5543086166436717, f1:0.4087192416191101
Epoch140---->precision:0.5122901106083726, recall:0.5552558342472376, f1:0.41062241792678833
Epoch141---->precision:0.5138145101553321, recall:0.5613418473838752, f1:0.4241047203540802
Epoch142---->precision:0.5143917944435118, recall:0.5631581585122818, f1:0.43203771114349365
Epoch143---->precision:0.5191424401648045, recall:0.5781718375962548, f1:0.4635533094406128
Epoch144---->precision:0.5309301565943061, recall:0.6182780863433214, f1:0.49360939860343933
Epoch145---->precision:0.5409421214299185, recall:0.6653830733128148, f1:0.4968259334564209
Epoch146---->precision:0.542495067303653, recall:0.6794088513107157, f1:0.48654359579086304
Epoch147---->precision:0.5454617041915878, recall:0.6874736146979399, f1:0.49786967039108276
Epoch148---->precision:0.5433801848968581, recall:0.6793923420714378, f1:0.4941747784614563
Epoch149---->precision:0.5441588922317311, recall:0.6790388674661856, f1:0.5004607439041138
Epoch150---->precision:0.5455166199807069, recall:0.6760901994080258, f1:0.5123222470283508
Epoch151---->precision:0.5493283151934357, recall:0.6715592976497918, f1:0.5331448316574097
Epoch152---->precision:0.5501995416134543, recall:0.672165422577564, f1:0.5359312295913696
Epoch153---->precision:0.5490488346259972, recall:0.6755784129904128, f1:0.5292801856994629
Epoch154---->precision:0.5515263289660353, recall:0.6820261553519416, f1:0.5344761610031128
Epoch155---->precision:0.5515612962487407, recall:0.684680899989387, f1:0.5328096747398376
Epoch156---->precision:0.5507473064217273, recall:0.6820323463166709, f1:0.5314532518386841
