Epoch77---->precision:0.8724889019397855, recall:0.8818849929164136, f1:0.8770821690559387
Epoch78---->precision:0.8654377025847118, recall:0.8864747773730015, f1:0.8754197359085083
Epoch79---->precision:0.8658155401804363, recall:0.8854963570127504, f1:0.8751868605613708
Epoch80---->precision:0.8677028787767043, recall:0.8783912669500101, f1:0.8729093074798584
Epoch81---->precision:0.8592714676328989, recall:0.8792773477028941, f1:0.868778645992279
Epoch82---->precision:0.8567139532697099, recall:0.8839133019631653, f1:0.8693904876708984
Epoch83---->precision:0.8603263542975037, recall:0.8817464835053632, f1:0.8704702854156494
Epoch84---->precision:0.8645195469492144, recall:0.8786012446873103, f1:0.8713188171386719
Epoch85---->precision:0.8526438089818371, recall:0.8762497470147743, f1:0.8637408018112183
Epoch86---->precision:0.8542579213163786, recall:0.8799534507184781, f1:0.866274356842041
Epoch87---->precision:0.8619405232584754, recall:0.880045790325845, f1:0.8705907464027405
Epoch88---->precision:0.8633602214656924, recall:0.8815365057680631, f1:0.8720446825027466
Epoch89---->precision:0.8494940089251204, recall:0.8774381451123254, f1:0.8624663352966309
Epoch90---->precision:0.8583898477400218, recall:0.8790212001619105, f1:0.8681766986846924
Epoch91---->precision:0.85946582808616, recall:0.8760859390811577, f1:0.8674336671829224
Epoch92---->precision:0.8569802767710837, recall:0.8775304847196923, f1:0.8667281866073608
Epoch93---->precision:0.8592714676328989, recall:0.8792773477028941, f1:0.868778645992279
Epoch94---->precision:0.8640792056517104, recall:0.8697492916413682, f1:0.8668749332427979
Epoch95---->precision:0.8608906653512463, recall:0.8775766545233759, f1:0.8688905239105225
Epoch96---->precision:0.8396642253847302, recall:0.8858954412062336, f1:0.859950065612793
Epoch97---->precision:0.8401538583551431, recall:0.8797687715037441, f1:0.8578859567642212
Epoch98---->precision:0.8650279531784262, recall:0.8700054391823517, f1:0.8674865365028381
Epoch99---->precision:0.8527515638642698, recall:0.8730583383930379, f1:0.8623822927474976
Epoch100---->precision:0.845934771460962, recall:0.8805833839303785, f1:0.8617039322853088
Epoch101---->precision:0.8568353725043867, recall:0.8807218933414289, f1:0.8680664300918579
